left-x	left-y	right-x	right-y
7	79	520	59
17	86	520	59
26	88	520	59
32	89	520	59
39	92	520	59
47	94	520	59
56	98	520	59
62	101	520	59
67	104	520	59
73	105	520	59
80	109	520	59
84	112	520	59
91	116	520	59
96	118	520	59
101	122	520	59
104	124	520	59
114	129	520	59
120	132	520	59
122	134	520	59
128	137	520	59
134	140	520	59
135	143	511	68
140	145	506	71
143	145	489	75
144	146	487	77
149	150	482	81
153	152	475	82
161	157	471	85
167	160	470	83
170	157	467	86
174	160	462	88
175	161	455	90
175	161	454	92
182	165	450	94
185	165	449	94
192	165	445	96
202	170	443	99
202	170	440	99
217	173	439	102
218	173	433	105
220	175	429	109
222	177	428	112
227	181	422	118
229	181	420	120
230	180	417	120
232	180	416	121
232	180	416	124
236	183	410	126
248	188	408	129
248	191	408	132
